"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|BE","Without sequence","66.34","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|BE","Without sequence","71.42","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|BE","Without sequence","77.3","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|BE","Without sequence","87.6","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|BE","Without sequence","90.14","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|BE","Without sequence","95.12","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|BE","Without sequence","96.32","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|BE","Without sequence","98.23","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|BE","Without sequence","92.4","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|BE","Without sequence","91.92","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|BE","Without sequence","96.87","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|BE","Without sequence","100.46","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|BE","Without sequence","103.33","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|BE","Without sequence","107.65","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|BE","Without sequence","108.58","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|BE","Without sequence","104.15","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|BE","Without sequence","100.28","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|BE","Without sequence","94.29","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|BE","Without sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|BE","Without sequence","86.8","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|BE","Without sequence","82.25","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|BE","Without sequence","80.2","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|BE","Without sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|BE","Without sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|BE","Without sequence","73.01","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|BE","Without sequence","74.59","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|BE","Without sequence","75.1","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|BE","Without sequence","81.39","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|BE","Without sequence","88.4","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|BE","Without sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|BE","Without sequence","97.3","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|BE","Without sequence","100.42","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|BE","Without sequence","99.16","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|BE","Without sequence","92.2","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|BE","Without sequence","92.11","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|BE","Without sequence","90.42","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|BE","Without sequence","91.33","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|BE","Without sequence","104.41","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|BE","Without sequence","103.63","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|BE","Without sequence","99.0","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|BE","Without sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|BE","Without sequence","88.0","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|BE","Without sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|BE","Without sequence","79.87","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|BE","Without sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|BE","Without sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|BE","Without sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|BE","Without sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|BE","Without sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|BE","Without sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|BE","Without sequence","74.9","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|BE","Without sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|BE","Without sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|BE","Without sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|BE","Without sequence","87.14","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|BE","Without sequence","89.13","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|BE","Without sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|BE","Without sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|BE","Without sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|BE","Without sequence","88.01","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|BE","Without sequence","93.42","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|BE","Without sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|BE","Without sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|BE","Without sequence","103.55","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|BE","Without sequence","100.5","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|BE","Without sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|BE","Without sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|BE","Without sequence","83.86","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|BE","Without sequence","87.03","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|BE","Without sequence","84.3","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|BE","Without sequence","81.69","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|BE","Without sequence","78.97","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|BE","Without sequence","78.46","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|BE","Without sequence","82.1","",""
