"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|GB","1456.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|GB(ElecLink)","1023.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BE","BZN|FR","2128.48"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|DE-LU","753.68"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|ES","2325.39"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|GB","1457.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|GB(ElecLink)","1024.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BE","BZN|FR","2244.73"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|DE-LU","526.35"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|ES","2529.63"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|GB","1453.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|GB(ElecLink)","1020.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|BE","BZN|FR","2188.36"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|DE-LU","395.76"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|ES","2519.56"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|GB","1432.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|GB(ElecLink)","999.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|BE","BZN|FR","2357.72"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|DE-LU","652.70"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|ES","2432.25"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|GB","520.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|GB(ElecLink)","87.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|BE","BZN|FR","2584.63"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|DE-LU","402.66"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|ES","2480.39"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|GB","618.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|GB(ElecLink)","185.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|BE","BZN|FR","1953.51"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|DE-LU","540.83"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|CH","1846.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|ES","2668.66"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|GB","851.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|GB(ElecLink)","418.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|BE","BZN|FR","1385.73"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|IT-North","1282.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|DE-LU","282.29"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|GB(IFA)","429.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|BE","0.00"
