"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","89.0","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","86.09","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","84.43","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","86.45","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","94.02","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","102.43","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","106.22","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","106.62","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","106.22","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","105.0","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","102.0","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","101.39","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","105.82","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","110.0","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","127.0","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","138.77","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","130.0","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","102.38","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","100.79","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","91.93","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","95.3","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","101.25","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","97.26","",""
